#SeqID	Length	Prediction
NODE_100_length_1044_cov_52.2356	1044	Plasmid
NODE_101_length_1038_cov_409.029	1038	Plasmid
NODE_102_length_1038_cov_66.7102	1038	Plasmid
NODE_103_length_1033_cov_818.661	1033	Plasmid
NODE_104_length_1005_cov_62.9089	1005	Plasmid
NODE_105_length_998_cov_60.5809	998	Chromosome
NODE_106_length_956_cov_149.712	956	Plasmid
NODE_107_length_929_cov_76.1172	929	Chromosome
NODE_108_length_858_cov_150.007	858	Chromosome
NODE_109_length_799_cov_45.0744	799	Plasmid
NODE_10_length_150947_cov_59.0606	150947	Chromosome
NODE_110_length_791_cov_109.5	791	Plasmid
NODE_111_length_770_cov_81.2659	770	Plasmid
NODE_112_length_768_cov_78.8019	768	Plasmid
NODE_113_length_765_cov_165.356	765	Plasmid
NODE_115_length_721_cov_71.5707	721	Plasmid
NODE_116_length_717_cov_374.773	717	Chromosome
NODE_117_length_684_cov_59.4057	684	Plasmid
NODE_118_length_676_cov_175.271	676	Chromosome
NODE_11_length_131000_cov_55.6184	131000	Chromosome
NODE_120_length_654_cov_189.041	654	Plasmid
NODE_124_length_623_cov_265.49	623	Chromosome
NODE_125_length_623_cov_222.149	623	Plasmid
NODE_127_length_614_cov_136.834	614	Chromosome
NODE_12_length_125299_cov_57.2609	125299	Chromosome
NODE_130_length_571_cov_68.6306	571	Chromosome
NODE_131_length_571_cov_62.786	571	Plasmid
NODE_134_length_556_cov_61.627	556	Plasmid
NODE_136_length_551_cov_78.4387	551	Chromosome
NODE_137_length_550_cov_87.9291	550	Plasmid
NODE_13_length_120308_cov_55.9517	120308	Chromosome
NODE_142_length_538_cov_205.511	538	Plasmid
NODE_143_length_537_cov_142.888	537	Plasmid
NODE_146_length_534_cov_78.4103	534	Chromosome
NODE_147_length_534_cov_74.3636	534	Plasmid
NODE_14_length_110564_cov_57.366	110564	Chromosome
NODE_151_length_529_cov_59.2114	529	Plasmid
NODE_153_length_527_cov_76.5075	527	Plasmid
NODE_15_length_107733_cov_59.4731	107733	Chromosome
NODE_16_length_96568_cov_55.9656	96568	Chromosome
NODE_17_length_92546_cov_57.6813	92546	Chromosome
NODE_18_length_92302_cov_61.5624	92302	Chromosome
NODE_19_length_86800_cov_59.3196	86800	Chromosome
NODE_1_length_490397_cov_57.2613	490397	Chromosome
NODE_20_length_82744_cov_60.6125	82744	Chromosome
NODE_21_length_80980_cov_56.1372	80980	Chromosome
NODE_22_length_80677_cov_59.6467	80677	Chromosome
NODE_23_length_72070_cov_63.6588	72070	Plasmid
NODE_24_length_71321_cov_54.2341	71321	Chromosome
NODE_25_length_67226_cov_56.9329	67226	Chromosome
NODE_26_length_59797_cov_82.5721	59797	Plasmid
NODE_27_length_55836_cov_56.663	55836	Chromosome
NODE_28_length_54814_cov_48.6615	54814	Chromosome
NODE_29_length_53875_cov_58.4864	53875	Chromosome
NODE_2_length_470404_cov_56.8649	470404	Chromosome
NODE_30_length_53146_cov_61.492	53146	Chromosome
NODE_31_length_44445_cov_112.798	44445	Plasmid
NODE_32_length_39969_cov_56.548	39969	Plasmid
NODE_33_length_38849_cov_55.7643	38849	Chromosome
NODE_34_length_38730_cov_57.0021	38730	Chromosome
NODE_35_length_38129_cov_58.947	38129	Plasmid
NODE_36_length_35896_cov_91.947	35896	Plasmid
NODE_37_length_35278_cov_55.4103	35278	Chromosome
NODE_39_length_33013_cov_56.5265	33013	Chromosome
NODE_3_length_467164_cov_58.8679	467164	Chromosome
NODE_40_length_31222_cov_65.9031	31222	Chromosome
NODE_41_length_28079_cov_55.2382	28079	Chromosome
NODE_42_length_26477_cov_66.4798	26477	Chromosome
NODE_43_length_26329_cov_56.0826	26329	Plasmid
NODE_44_length_24044_cov_55.0485	24044	Chromosome
NODE_45_length_18479_cov_60.9997	18479	Chromosome
NODE_46_length_13840_cov_43.8174	13840	Chromosome
NODE_47_length_12691_cov_58.9499	12691	Plasmid
NODE_48_length_10553_cov_62.1011	10553	Plasmid
NODE_49_length_10289_cov_123.533	10289	Plasmid
NODE_4_length_284136_cov_60.0939	284136	Chromosome
NODE_50_length_10148_cov_97.2424	10148	Plasmid
NODE_51_length_9310_cov_63.4776	9310	Chromosome
NODE_52_length_8760_cov_60.3721	8760	Chromosome
NODE_53_length_8125_cov_69.438	8125	Plasmid
NODE_54_length_8016_cov_59.1227	8016	Chromosome
NODE_55_length_7966_cov_55.8796	7966	Chromosome
NODE_56_length_6216_cov_64.6336	6216	Plasmid
NODE_57_length_5600_cov_77.1045	5600	Plasmid
NODE_58_length_5167_cov_781.445	5167	Plasmid
NODE_59_length_5099_cov_63.468	5099	Plasmid
NODE_5_length_221321_cov_61.0423	221321	Chromosome
NODE_60_length_4873_cov_124.944	4873	Plasmid
NODE_61_length_4829_cov_67.6055	4829	Chromosome
NODE_62_length_4828_cov_60.6873	4828	Chromosome
NODE_63_length_4479_cov_64.0487	4479	Chromosome
NODE_64_length_4467_cov_62.7304	4467	Plasmid
NODE_65_length_4200_cov_2736.91	4200	Plasmid
NODE_66_length_3790_cov_111.535	3790	Plasmid
NODE_67_length_3759_cov_27.717	3759	Plasmid
NODE_68_length_3628_cov_52.605	3628	Plasmid
NODE_6_length_198754_cov_56.8054	198754	Chromosome
NODE_70_length_3425_cov_77.1862	3425	Plasmid
NODE_71_length_3291_cov_539.703	3291	Plasmid
NODE_72_length_3168_cov_89.5804	3168	Plasmid
NODE_74_length_2971_cov_38.5812	2971	Plasmid
NODE_75_length_2943_cov_545.912	2943	Chromosome
NODE_76_length_2581_cov_308.293	2581	Chromosome
NODE_77_length_1819_cov_129.16	1819	Plasmid
NODE_78_length_1743_cov_134.988	1743	Plasmid
NODE_7_length_196167_cov_57.5179	196167	Chromosome
NODE_80_length_1697_cov_107.505	1697	Chromosome
NODE_82_length_1656_cov_105.918	1656	Chromosome
NODE_83_length_1654_cov_78.5442	1654	Plasmid
NODE_84_length_1624_cov_555.51	1624	Chromosome
NODE_85_length_1623_cov_140.513	1623	Chromosome
NODE_86_length_1420_cov_92.9072	1420	Plasmid
